COUNTY,CNTYNAME,DISTRICT,DISTNAME,CHARTER_STATUS,CRISIS_IND,studentnumber,tipcat
101,HARRIS COUNTY,101870,BETA ACADEMY,OPEN ENROLLMENT CHARTER,5C,59,made homeless
101,HARRIS COUNTY,101902,ALDINE ISD,TRADITIONAL ISD/CSD,5C,1940,made homeless
101,HARRIS COUNTY,101903,ALIEF ISD,TRADITIONAL ISD/CSD,5C,52,made homeless
101,HARRIS COUNTY,101905,CHANNELVIEW ISD,TRADITIONAL ISD/CSD,5C,-999,made homeless
101,HARRIS COUNTY,101906,CROSBY ISD,TRADITIONAL ISD/CSD,5C,108,made homeless
101,HARRIS COUNTY,101907,CYPRESS-FAIRBANKS ISD,TRADITIONAL ISD/CSD,5C,423,made homeless
101,HARRIS COUNTY,101908,DEER PARK ISD,TRADITIONAL ISD/CSD,5C,66,made homeless
101,HARRIS COUNTY,101910,GALENA PARK ISD,TRADITIONAL ISD/CSD,5C,303,made homeless
101,HARRIS COUNTY,101911,GOOSE CREEK CISD,TRADITIONAL ISD/CSD,5C,655,made homeless
101,HARRIS COUNTY,101912,HOUSTON ISD,TRADITIONAL ISD/CSD,5C,1815,made homeless
101,HARRIS COUNTY,101913,HUMBLE ISD,TRADITIONAL ISD/CSD,5C,1630,made homeless
101,HARRIS COUNTY,101914,KATY ISD,TRADITIONAL ISD/CSD,5C,2389,made homeless
101,HARRIS COUNTY,101915,KLEIN ISD,TRADITIONAL ISD/CSD,5C,103,made homeless
101,HARRIS COUNTY,101916,LA PORTE ISD,TRADITIONAL ISD/CSD,5C,71,made homeless
101,HARRIS COUNTY,101917,PASADENA ISD,TRADITIONAL ISD/CSD,5C,1440,made homeless
101,HARRIS COUNTY,101919,SPRING ISD,TRADITIONAL ISD/CSD,5C,313,made homeless
101,HARRIS COUNTY,101920,SPRING BRANCH ISD,TRADITIONAL ISD/CSD,5C,1211,made homeless
101,HARRIS COUNTY,101921,TOMBALL ISD,TRADITIONAL ISD/CSD,5C,18,made homeless
101,HARRIS COUNTY,101924,SHELDON ISD,TRADITIONAL ISD/CSD,5C,660,made homeless
101,HARRIS COUNTY,101925,HUFFMAN ISD,TRADITIONAL ISD/CSD,5C,149,made homeless
120,JACKSON COUNTY,120905,INDUSTRIAL ISD,TRADITIONAL ISD/CSD,5C,-999,made homeless
121,JASPER COUNTY,121904,JASPER ISD,TRADITIONAL ISD/CSD,5C,-999,made homeless
121,JASPER COUNTY,121905,KIRBYVILLE CISD,TRADITIONAL ISD/CSD,5C,10,made homeless
121,JASPER COUNTY,121906,EVADALE ISD,TRADITIONAL ISD/CSD,5C,27,made homeless
123,JEFFERSON COUNTY,123803,TEKOA ACADEMY OF ACCELERATED STUDI,OPEN ENROLLMENT CHARTER,5C,46,made homeless
123,JEFFERSON COUNTY,123805,EHRHART SCHOOL,OPEN ENROLLMENT CHARTER,5C,10,made homeless
123,JEFFERSON COUNTY,123807,BOB HOPE SCHOOL,OPEN ENROLLMENT CHARTER,5C,125,made homeless
123,JEFFERSON COUNTY,123905,NEDERLAND ISD,TRADITIONAL ISD/CSD,5C,150,made homeless
123,JEFFERSON COUNTY,123907,PORT ARTHUR ISD,TRADITIONAL ISD/CSD,5C,2834,made homeless
123,JEFFERSON COUNTY,123908,PORT NECHES-GROVES ISD,TRADITIONAL ISD/CSD,5C,420,made homeless
123,JEFFERSON COUNTY,123910,BEAUMONT ISD,TRADITIONAL ISD/CSD,5C,372,made homeless
123,JEFFERSON COUNTY,123913,SABINE PASS ISD,TRADITIONAL ISD/CSD,5C,134,made homeless
123,JEFFERSON COUNTY,123914,HAMSHIRE-FANNETT ISD,TRADITIONAL ISD/CSD,5C,388,made homeless
143,LAVACA COUNTY,143906,EZZELL ISD,TRADITIONAL ISD/CSD,5C,-999,made homeless
144,LEE COUNTY,144901,GIDDINGS ISD,TRADITIONAL ISD/CSD,5C,-999,made homeless
146,LIBERTY COUNTY,146901,CLEVELAND ISD,TRADITIONAL ISD/CSD,5C,23,made homeless
146,LIBERTY COUNTY,146902,DAYTON ISD,TRADITIONAL ISD/CSD,5C,981,made homeless
146,LIBERTY COUNTY,146903,DEVERS ISD,TRADITIONAL ISD/CSD,5C,14,made homeless
146,LIBERTY COUNTY,146904,HARDIN ISD,TRADITIONAL ISD/CSD,5C,14,made homeless
146,LIBERTY COUNTY,146905,HULL-DAISETTA ISD,TRADITIONAL ISD/CSD,5C,80,made homeless
146,LIBERTY COUNTY,146906,LIBERTY ISD,TRADITIONAL ISD/CSD,5C,16,made homeless
146,LIBERTY COUNTY,146907,TARKINGTON ISD,TRADITIONAL ISD/CSD,5C,-999,made homeless
158,MATAGORDA COUNTY,158901,BAY CITY ISD,TRADITIONAL ISD/CSD,5C,-999,made homeless
170,MONTGOMERY COUNTY,170801,TEXAS SERENITY ACADEMY,OPEN ENROLLMENT CHARTER,5C,29,made homeless
170,MONTGOMERY COUNTY,170902,CONROE ISD,TRADITIONAL ISD/CSD,5C,445,made homeless
170,MONTGOMERY COUNTY,170903,MONTGOMERY ISD,TRADITIONAL ISD/CSD,5C,-999,made homeless
170,MONTGOMERY COUNTY,170904,WILLIS ISD,TRADITIONAL ISD/CSD,5C,-999,made homeless
170,MONTGOMERY COUNTY,170906,MAGNOLIA ISD,TRADITIONAL ISD/CSD,5C,21,made homeless
170,MONTGOMERY COUNTY,170907,SPLENDORA ISD,TRADITIONAL ISD/CSD,5C,137,made homeless
170,MONTGOMERY COUNTY,170908,NEW CANEY ISD,TRADITIONAL ISD/CSD,5C,148,made homeless
176,NEWTON COUNTY,176902,NEWTON ISD,TRADITIONAL ISD/CSD,5C,19,made homeless
176,NEWTON COUNTY,176903,DEWEYVILLE ISD,TRADITIONAL ISD/CSD,5C,179,made homeless
178,NUECES COUNTY,178904,CORPUS CHRISTI ISD,TRADITIONAL ISD/CSD,5C,87,made homeless
178,NUECES COUNTY,178908,PORT ARANSAS ISD,TRADITIONAL ISD/CSD,5C,-999,made homeless
178,NUECES COUNTY,178914,FLOUR BLUFF ISD,TRADITIONAL ISD/CSD,5C,-999,made homeless
178,NUECES COUNTY,178915,WEST OSO ISD,TRADITIONAL ISD/CSD,5C,-999,made homeless
181,ORANGE COUNTY,181901,BRIDGE CITY ISD,TRADITIONAL ISD/CSD,5C,363,made homeless
181,ORANGE COUNTY,181905,ORANGEFIELD ISD,TRADITIONAL ISD/CSD,5C,980,made homeless
181,ORANGE COUNTY,181906,WEST ORANGE-COVE CISD,TRADITIONAL ISD/CSD,5C,186,made homeless
181,ORANGE COUNTY,181907,VIDOR ISD,TRADITIONAL ISD/CSD,5C,872,made homeless
181,ORANGE COUNTY,181908,LITTLE CYPRESS-MAURICEVILLE CISD,TRADITIONAL ISD/CSD,5C,294,made homeless
187,POLK COUNTY,187907,LIVINGSTON ISD,TRADITIONAL ISD/CSD,5C,-999,made homeless
196,REFUGIO COUNTY,196901,AUSTWELL-TIVOLI ISD,TRADITIONAL ISD/CSD,5C,33,made homeless
196,REFUGIO COUNTY,196902,WOODSBORO ISD,TRADITIONAL ISD/CSD,5C,90,made homeless
196,REFUGIO COUNTY,196903,REFUGIO ISD,TRADITIONAL ISD/CSD,5C,177,made homeless
204,SAN JACINTO COUNTY,204901,COLDSPRING-OAKHURST CISD,TRADITIONAL ISD/CSD,5C,27,made homeless
205,SAN PATRICIO COUNTY,205901,ARANSAS PASS ISD,TRADITIONAL ISD/CSD,5C,60,made homeless
205,SAN PATRICIO COUNTY,205903,INGLESIDE ISD,TRADITIONAL ISD/CSD,5C,468,made homeless
205,SAN PATRICIO COUNTY,205907,TAFT ISD,TRADITIONAL ISD/CSD,5C,-999,made homeless
221,TAYLOR COUNTY,221801,TEXAS COLLEGE PREPARATORY ACADEMIE,OPEN ENROLLMENT CHARTER,5C,61,made homeless
229,TYLER COUNTY,229904,WARREN ISD,TRADITIONAL ISD/CSD,5C,-999,made homeless
229,TYLER COUNTY,229905,SPURGER ISD,TRADITIONAL ISD/CSD,5C,80,made homeless
235,VICTORIA COUNTY,235901,BLOOMINGTON ISD,TRADITIONAL ISD/CSD,5C,12,made homeless
235,VICTORIA COUNTY,235902,VICTORIA ISD,TRADITIONAL ISD/CSD,5C,317,made homeless
235,VICTORIA COUNTY,235904,NURSERY ISD,TRADITIONAL ISD/CSD,5C,-999,made homeless
236,WALKER COUNTY,236802,SAM HOUSTON STATE UNIVERSITY CHART,OPEN ENROLLMENT CHARTER,5C,-999,made homeless
237,WALLER COUNTY,237904,WALLER ISD,TRADITIONAL ISD/CSD,5C,-999,made homeless
237,WALLER COUNTY,237905,ROYAL ISD,TRADITIONAL ISD/CSD,5C,-999,made homeless
241,WHARTON COUNTY,241901,BOLING ISD,TRADITIONAL ISD/CSD,5C,91,made homeless
241,WHARTON COUNTY,241902,EAST BERNARD ISD,TRADITIONAL ISD/CSD,5C,27,made homeless
241,WHARTON COUNTY,241904,WHARTON ISD,TRADITIONAL ISD/CSD,5C,141,made homeless
