COUNTY,CNTYNAME,DISTRICT,DISTNAME,CHARTER_STATUS,CRISIS_IND,CRISISX_L,STUDENTS
7,ATASCOSA COUNTY,7904,LYTLE ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
7,ATASCOSA COUNTY,7905,PLEASANTON ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",18
7,ATASCOSA COUNTY,7906,POTEET ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
8,AUSTIN COUNTY,8902,SEALY ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
8,AUSTIN COUNTY,8903,BRAZOS ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
8,AUSTIN COUNTY,8903,BRAZOS ISD,TRADITIONAL ISD/CSD,5C,"STUD HOMELESS BECAUSE OF HARVEY, REMAINED ENRLD IN THEIR HOME CAMPUS, 17-18",12
9,BAILEY COUNTY,9901,MULESHOE ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
10,BANDERA COUNTY,10901,MEDINA ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
10,BANDERA COUNTY,10902,BANDERA ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
11,BASTROP COUNTY,11901,BASTROP ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
11,BASTROP COUNTY,11901,BASTROP ISD,TRADITIONAL ISD/CSD,5C,"STUD HOMELESS BECAUSE OF HARVEY, REMAINED ENRLD IN THEIR HOME CAMPUS, 17-18",-999
11,BASTROP COUNTY,11902,ELGIN ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
11,BASTROP COUNTY,11904,SMITHVILLE ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
11,BASTROP COUNTY,11904,SMITHVILLE ISD,TRADITIONAL ISD/CSD,5C,"STUD HOMELESS BECAUSE OF HARVEY, REMAINED ENRLD IN THEIR HOME CAMPUS, 17-18",18
11,BASTROP COUNTY,11905,MCDADE ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
13,BEE COUNTY,13801,ST MARY'S ACADEMY CHARTER SCHOOL,OPEN ENROLLMENT CHARTER,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
13,BEE COUNTY,13901,BEEVILLE ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",32
13,BEE COUNTY,13902,PAWNEE ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
13,BEE COUNTY,13903,PETTUS ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
13,BEE COUNTY,13905,SKIDMORE-TYNAN ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
14,BELL COUNTY,14801,RICHARD MILBURN ALTER HIGH SCHOOL,OPEN ENROLLMENT CHARTER,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
14,BELL COUNTY,14903,BELTON ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",13
14,BELL COUNTY,14906,KILLEEN ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",29
14,BELL COUNTY,14907,ROGERS ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
14,BELL COUNTY,14908,SALADO ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
14,BELL COUNTY,14909,TEMPLE ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
15,BEXAR COUNTY,15822,JUBILEE ACADEMIES,OPEN ENROLLMENT CHARTER,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
15,BEXAR COUNTY,15834,BASIS TEXAS,OPEN ENROLLMENT CHARTER,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
15,BEXAR COUNTY,15901,ALAMO HEIGHTS ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",10
15,BEXAR COUNTY,15904,HARLANDALE ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",12
15,BEXAR COUNTY,15905,EDGEWOOD ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
15,BEXAR COUNTY,15907,SAN ANTONIO ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",53
15,BEXAR COUNTY,15909,SOMERSET ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
15,BEXAR COUNTY,15910,NORTH EAST ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",71
15,BEXAR COUNTY,15911,EAST CENTRAL ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
15,BEXAR COUNTY,15912,SOUTHWEST ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",15
15,BEXAR COUNTY,15915,NORTHSIDE ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",81
15,BEXAR COUNTY,15916,JUDSON ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",26
15,BEXAR COUNTY,15916,JUDSON ISD,TRADITIONAL ISD/CSD,5C,"STUD HOMELESS BECAUSE OF HARVEY, REMAINED ENRLD IN THEIR HOME CAMPUS, 17-18",-999
15,BEXAR COUNTY,15917,SOUTHSIDE ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",10
18,BOSQUE COUNTY,18901,CLIFTON ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
18,BOSQUE COUNTY,18902,MERIDIAN ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
18,BOSQUE COUNTY,18907,KOPPERL ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
19,BOWIE COUNTY,19903,MAUD ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
19,BOWIE COUNTY,19905,NEW BOSTON ISD,TRADITIONAL ISD/CSD,5B,"STUD ENRLD IN HARVEY IMPACTED LEA, ENRLD IN ANOTHER CAMPUS OF THE LEA 17-18",-999
19,BOWIE COUNTY,19907,TEXARKANA ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
19,BOWIE COUNTY,19909,SIMMS ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
20,BRAZORIA COUNTY,20901,ALVIN ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",97
20,BRAZORIA COUNTY,20901,ALVIN ISD,TRADITIONAL ISD/CSD,5B,"STUD ENRLD IN HARVEY IMPACTED LEA, ENRLD IN ANOTHER CAMPUS OF THE LEA 17-18",27
20,BRAZORIA COUNTY,20901,ALVIN ISD,TRADITIONAL ISD/CSD,5C,"STUD HOMELESS BECAUSE OF HARVEY, REMAINED ENRLD IN THEIR HOME CAMPUS, 17-18",411
20,BRAZORIA COUNTY,20902,ANGLETON ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",40
20,BRAZORIA COUNTY,20902,ANGLETON ISD,TRADITIONAL ISD/CSD,5C,"STUD HOMELESS BECAUSE OF HARVEY, REMAINED ENRLD IN THEIR HOME CAMPUS, 17-18",447
20,BRAZORIA COUNTY,20904,DANBURY ISD,TRADITIONAL ISD/CSD,5C,"STUD HOMELESS BECAUSE OF HARVEY, REMAINED ENRLD IN THEIR HOME CAMPUS, 17-18",39
20,BRAZORIA COUNTY,20905,BRAZOSPORT ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",57
20,BRAZORIA COUNTY,20905,BRAZOSPORT ISD,TRADITIONAL ISD/CSD,5B,"STUD ENRLD IN HARVEY IMPACTED LEA, ENRLD IN ANOTHER CAMPUS OF THE LEA 17-18",-999
20,BRAZORIA COUNTY,20905,BRAZOSPORT ISD,TRADITIONAL ISD/CSD,5C,"STUD HOMELESS BECAUSE OF HARVEY, REMAINED ENRLD IN THEIR HOME CAMPUS, 17-18",276
20,BRAZORIA COUNTY,20906,SWEENY ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
20,BRAZORIA COUNTY,20906,SWEENY ISD,TRADITIONAL ISD/CSD,5C,"STUD HOMELESS BECAUSE OF HARVEY, REMAINED ENRLD IN THEIR HOME CAMPUS, 17-18",112
20,BRAZORIA COUNTY,20907,COLUMBIA-BRAZORIA ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",15
20,BRAZORIA COUNTY,20907,COLUMBIA-BRAZORIA ISD,TRADITIONAL ISD/CSD,5C,"STUD HOMELESS BECAUSE OF HARVEY, REMAINED ENRLD IN THEIR HOME CAMPUS, 17-18",146
20,BRAZORIA COUNTY,20908,PEARLAND ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",77
20,BRAZORIA COUNTY,20908,PEARLAND ISD,TRADITIONAL ISD/CSD,5B,"STUD ENRLD IN HARVEY IMPACTED LEA, ENRLD IN ANOTHER CAMPUS OF THE LEA 17-18",-999
20,BRAZORIA COUNTY,20908,PEARLAND ISD,TRADITIONAL ISD/CSD,5C,"STUD HOMELESS BECAUSE OF HARVEY, REMAINED ENRLD IN THEIR HOME CAMPUS, 17-18",296
20,BRAZORIA COUNTY,20910,DAMON ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
20,BRAZORIA COUNTY,20910,DAMON ISD,TRADITIONAL ISD/CSD,5C,"STUD HOMELESS BECAUSE OF HARVEY, REMAINED ENRLD IN THEIR HOME CAMPUS, 17-18",-999
21,BRAZOS COUNTY,21803,BRAZOS SCHOOL FOR INQUIRY & CREATI,OPEN ENROLLMENT CHARTER,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
21,BRAZOS COUNTY,21803,BRAZOS SCHOOL FOR INQUIRY & CREATI,OPEN ENROLLMENT CHARTER,5C,"STUD HOMELESS BECAUSE OF HARVEY, REMAINED ENRLD IN THEIR HOME CAMPUS, 17-18",15
21,BRAZOS COUNTY,21805,ARROW ACADEMY,OPEN ENROLLMENT CHARTER,5C,"STUD HOMELESS BECAUSE OF HARVEY, REMAINED ENRLD IN THEIR HOME CAMPUS, 17-18",-999
21,BRAZOS COUNTY,21901,COLLEGE STATION ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",31
21,BRAZOS COUNTY,21902,BRYAN ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",48
24,BROOKS COUNTY,24901,BROOKS COUNTY ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
25,BROWN COUNTY,25901,BANGS ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
25,BROWN COUNTY,25902,BROWNWOOD ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
25,BROWN COUNTY,25905,MAY ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
26,BURLESON COUNTY,26901,CALDWELL ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
27,BURNET COUNTY,27904,MARBLE FALLS ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",10
28,CALDWELL COUNTY,28902,LOCKHART ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
29,CALHOUN COUNTY,29901,CALHOUN COUNTY ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",23
29,CALHOUN COUNTY,29901,CALHOUN COUNTY ISD,TRADITIONAL ISD/CSD,5B,"STUD ENRLD IN HARVEY IMPACTED LEA, ENRLD IN ANOTHER CAMPUS OF THE LEA 17-18",10
29,CALHOUN COUNTY,29901,CALHOUN COUNTY ISD,TRADITIONAL ISD/CSD,5C,"STUD HOMELESS BECAUSE OF HARVEY, REMAINED ENRLD IN THEIR HOME CAMPUS, 17-18",-999
31,CAMERON COUNTY,31901,BROWNSVILLE ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",79
31,CAMERON COUNTY,31903,HARLINGEN CISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",24
31,CAMERON COUNTY,31905,LA FERIA ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
31,CAMERON COUNTY,31906,LOS FRESNOS CISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
31,CAMERON COUNTY,31909,POINT ISABEL ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
31,CAMERON COUNTY,31911,RIO HONDO ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
31,CAMERON COUNTY,31912,SAN BENITO CISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
31,CAMERON COUNTY,31916,SOUTH TEXAS ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
32,CAMP COUNTY,32902,PITTSBURG ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
34,CASS COUNTY,34901,ATLANTA ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
34,CASS COUNTY,34903,HUGHES SPRINGS ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
34,CASS COUNTY,34905,LINDEN-KILDARE CISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
36,CHAMBERS COUNTY,36901,ANAHUAC ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
36,CHAMBERS COUNTY,36901,ANAHUAC ISD,TRADITIONAL ISD/CSD,5C,"STUD HOMELESS BECAUSE OF HARVEY, REMAINED ENRLD IN THEIR HOME CAMPUS, 17-18",88
36,CHAMBERS COUNTY,36902,BARBERS HILL ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",11
36,CHAMBERS COUNTY,36902,BARBERS HILL ISD,TRADITIONAL ISD/CSD,5C,"STUD HOMELESS BECAUSE OF HARVEY, REMAINED ENRLD IN THEIR HOME CAMPUS, 17-18",194
36,CHAMBERS COUNTY,36903,EAST CHAMBERS ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
36,CHAMBERS COUNTY,36903,EAST CHAMBERS ISD,TRADITIONAL ISD/CSD,5C,"STUD HOMELESS BECAUSE OF HARVEY, REMAINED ENRLD IN THEIR HOME CAMPUS, 17-18",125
37,CHEROKEE COUNTY,37901,ALTO ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
37,CHEROKEE COUNTY,37904,JACKSONVILLE ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
37,CHEROKEE COUNTY,37907,RUSK ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
42,COLEMAN COUNTY,42901,COLEMAN ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
43,COLLIN COUNTY,43901,ALLEN ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",11
43,COLLIN COUNTY,43904,FARMERSVILLE ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
43,COLLIN COUNTY,43905,FRISCO ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",12
43,COLLIN COUNTY,43907,MCKINNEY ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
43,COLLIN COUNTY,43910,PLANO ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",19
43,COLLIN COUNTY,43911,PRINCETON ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
43,COLLIN COUNTY,43918,COMMUNITY ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
45,COLORADO COUNTY,45902,COLUMBUS ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
45,COLORADO COUNTY,45902,COLUMBUS ISD,TRADITIONAL ISD/CSD,5C,"STUD HOMELESS BECAUSE OF HARVEY, REMAINED ENRLD IN THEIR HOME CAMPUS, 17-18",54
45,COLORADO COUNTY,45903,RICE CISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
45,COLORADO COUNTY,45905,WEIMAR ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
46,COMAL COUNTY,46802,TRINITY CHARTER SCHOOL,OPEN ENROLLMENT CHARTER,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
46,COMAL COUNTY,46901,NEW BRAUNFELS ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",15
46,COMAL COUNTY,46902,COMAL ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",20
47,COMANCHE COUNTY,47902,DE LEON ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
49,COOKE COUNTY,49901,GAINESVILLE ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
49,COOKE COUNTY,49908,WALNUT BEND ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
